date_block_num,itemcntday,,,,,,
0,131479,,,,,,
1,128090,,,,,,
2,147142,,,,,,
3,107190,,,,,,
4,106970,,,,,,
5,125381,,,,,,
6,116966,,,,,,
7,125291,,,,,,
8,133332,,,,,,
9,127541,,,,,,
10,130009,,,,,,
11,183342,,,,,,
12,116899,,,,,,
13,109687,,,,,,
14,115297,,,,,,
15,96556,,,,,,
16,97790,,,,,,
17,97429,,,,,,
18,91280,,,,,,
19,102721,,,,,,
20,99208,,,,,,
21,107422,,,,,,
22,117845,,,,,,
23,168755,,ARIMA,,,,FB prophet
24,110971,,102319,,,,93206.12468
25,84198,,91284,,,,88391.55165
26,82014,,83452,,,,98367.5721
27,77827,,85922,,,,72912.2103
28,72295,,88610,,,,74242.33449
29,64114,,69477,,,,80148.46336
30,63187,,65594,,,,73099.62897
31,66079,,80151,,,,83432.19584
32,72843,,65084,,,,83454.15266
33,71056,,87303,,,,87420.34291
,,101558828.60 MSE (10077.64 RMSE),,,, 482197060.57 MSE (21958.99 RMSE),
